Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
sampled,no,forward,0.0001,82.46333909034729,24,8.89257523290228e-05,0.006197080093833267,nan,False
sampled,no,forward,1e-06,40.95941424369812,11,3.753741580697694e-09,9.517431917102394e-06,1.0800883993263564,True
sampled,no,forward,1e-08,82.7690486907959,19,49975.71799180038,2922.772724596913,nan,False
sampled,no,forward,1e-10,83.21263217926025,18,50412.680283004345,2940.5409517852418,nan,False
sampled,no,forward,1e-12,81.66126608848572,20,50412.72311460244,2958.8198501201855,nan,False
sampled,no,backward,0.01,82.37629818916321,24,0.010844518115362295,8.861687274387009,nan,False
sampled,no,backward,0.0001,81.30743336677551,24,1.3441505557219537e-05,0.012616617427319914,nan,False
sampled,no,backward,1e-06,81.05519890785217,23,1.864777769066427e-10,3.649680209377648e-05,nan,False
sampled,no,backward,1e-08,80.37385272979736,19,50028.39731952161,2925.1141376408914,nan,False
sampled,no,backward,1e-10,89.04860854148865,8,50412.70713560315,2940.536598574353,nan,False
sampled,no,backward,1e-12,86.27845883369446,11,50412.72311758798,2914.618209497056,nan,False
sampled,no,central,0.01,83.01001644134521,18,1.5336736589154592e-06,0.06548904634778845,nan,False
sampled,no,central,0.0001,53.239455699920654,12,3.706987476179045e-13,8.293542222069903e-06,0.9942899492988291,True
sampled,no,central,1e-06,56.12614917755127,12,9.942750883909647e-14,7.835878258781777e-07,0.9913635299921985,True
sampled,no,central,1e-08,83.73369717597961,16,49346.69418808891,2896.6732035762284,nan,False
sampled,no,central,1e-10,81.82212471961975,16,50412.58251581933,2940.6232648302243,nan,False
sampled,no,central,1e-12,79.74941325187683,15,50412.72310508795,2911.6492416089745,nan,False
